nrepeats,affinity,data,model
1,0.10,-0.256159143870877,-0.2557885699361808
2,0.10,-0.11827308064984,-0.11782899236620104
3,0.10,-0.0296514316713043,0.020453650158839487
4,0.10,0.020393849888938,0.09884385953506314
5,0.10,0.0898158330636157,0.0878472578875007
6,0.10,0.183400921379578,-0.004477551367133792
1,0.25,0.081897271156792,-0.25313138240793265
2,0.25,0.0908152369330713,-0.11079136039196502
3,0.25,0.0767176000159927,0.02846318546997484
4,0.25,0.0734869650433765,0.10176867870535311
5,0.25,0.0451435848056851,0.08070677460486575
6,0.25,-0.0046169201747646,-0.022035724956320557
1,0.50,-0.103827705218994,-0.25313138240793265
2,0.50,0.052734963053543,-0.11079136039196502
3,0.50,-0.0251059085363107,0.02846318546997484
4,0.50,-0.120694088391104,0.10176867870535311
5,0.50,0.0026159126294909,0.08070677460486575
6,0.50,0.254049356393433,-0.022035724956320557
1,0.75,-0.258686648710395,-0.21676188126741813
2,0.75,-0.0125348820878507,-0.026046187637002838
3,0.75,0.202018518175843,0.09689456412496877
4,0.75,0.359986374330019,0.07014352195325202
5,0.75,0.151318292431995,-0.08124594729901347
6,0.75,-0.284710212459547,-0.26408352744772134
1,0.89375,-0.0408172895859671,-0.11803369435655231
2,0.89375,-0.0903746773552215,0.09874658622389099
3,0.89375,-0.0879715713006497,-0.0039795323759515
4,0.89375,-0.0263438223142227,-0.27635901737261204
5,0.89375,-0.251449286665183,-0.443805606959943
6,0.89375,-0.65579535772778,-0.45244924234058903
1,1.00,-0.0018026553995342,-0.11785225784269127
2,1.00,0.0565618253529178,0.09883283854126645
3,1.00,-0.0778953936438374,-0.004420911127553495
4,1.00,-0.313389959150109,-0.2769606671826983
5,1.00,-0.439428514550529,-0.4440471177048648
6,1.00,-0.452271138851552,-0.4522711395938872
