nrepeats,affinity,data,model
1,0.10,-0.256159143870877,-0.256159142161668
2,0.10,-0.11827308064984,-0.12295871969444727
3,0.10,-0.0296514316713043,-0.029192246215930417
4,0.10,0.020393849888938,0.01922430171023093
5,0.10,0.0898158330636157,0.04193856766264492
6,0.10,0.183400921379578,0.05111262518815085
1,0.25,0.081897271156792,-0.20928834925391593
2,0.25,0.0908152369330713,-0.037041508619729324
3,0.25,0.0767176000159927,0.026598019352685576
4,0.25,0.0734869650433765,0.04889984085745924
5,0.25,0.0451435848056851,0.05715657972838972
6,0.25,-0.0046169201747646,0.057475454273624216
1,0.50,-0.103827705218994,-0.13523075767588688
2,0.50,0.052734963053543,0.015828399862028775
3,0.50,-0.0251059085363107,0.05043676221403981
4,0.50,-0.120694088391104,0.0585278649510701
5,0.50,0.0026159126294909,0.045667797296711665
6,0.50,0.254049356393433,-0.022994996972093062
1,0.75,-0.258686648710395,-0.07477857525280518
2,0.75,-0.0125348820878507,0.04059605045201664
3,0.75,0.202018518175843,0.0582034309535695
4,0.75,0.359986374330019,0.04418650783972122
5,0.75,0.151318292431995,-0.08645625236214327
6,0.75,-0.284710212459547,-0.3198021935994553
1,0.89375,-0.0408172895859671,-0.03158054392218812
2,0.89375,-0.0903746773552215,0.050794388301132365
3,0.89375,-0.0879715713006497,0.056443608050171346
4,0.89375,-0.0263438223142227,-0.026277142305560997
5,0.89375,-0.251449286665183,-0.2915031645880295
6,0.89375,-0.65579535772778,-0.44879216496295493
1,1.00,-0.0018026553995342,-0.0014029253034246736
2,1.00,0.0565618253529178,0.05657306703655074
3,1.00,-0.0778953936438374,0.034736748977157283
4,1.00,-0.313389959150109,-0.2083765076810109
5,1.00,-0.439428514550529,-0.4379720678005605
6,1.00,-0.452271138851552,-0.48664236858497345
